fullname,firstname,secondname,games,birthdate,position,scPrice,height,weight
James Madden,James,Madden,0,"1999,11,15",Midfield,102400,185,84
James Parsons,James,Parsons,31,"1997,04,12",Forward,291200,190,82
James Rose,James,Rose,9,"1996,04,16",Forward,165000,186,79
James Rowbottom,James,Rowbottom,0,"2000,09,19",Midfield,117300,186,81
James Sicily,James,Sicily,60,"1995,01,06",Defender,570400,186,85
James Stewart,James,Stewart,45,"1994,03,04",Forward,366200,198,94
James Worpel,James,Worpel,11,"1999,01,24","Midfield,Forward",395700,185,85
Jamie Cripps,Jamie,Cripps,144,"1992,04,23",Forward,440000,183,84
Jamie Elliott,Jamie,Elliott,89,"1992,08,21",Forward,280300,178,81
Jamie MacMillan,Jamie,MacMillan,139,"1991,09,23",Defender,440200,188,89
Jared Polec,Jared,Polec,106,"1992,10,12",Midfield,513500,187,84
Jarman Impey,Jarman,Impey,99,"1995,07,09","Defender,Forward",370600,178,82
Jarrad McVeigh,Jarrad,McVeigh,319,"1985,04,07",Defender,487100,184,84
Jarrod Berry,Jarrod,Berry,37,"1998,02,05",Midfield,434300,193,84
Jarrod Brander,Jarrod,Brander,1,"1999,02,11",Forward,135700,195,90
Jarrod Cameron,Jarrod,Cameron,0,"2000,05,03","Midfield,Forward",117300,183,72
Jarrod Garlett,Jarrod,Garlett,28,"1996,05,03",Forward,249700,180,74
Jarrod Harbrow,Jarrod,Harbrow,224,"1988,07,18",Defender,444400,178,73
Jarrod Lienert,Jarrod,Lienert,6,"1994,08,05",Defender,367200,193,89
Jarrod Pickett,Jarrod,Pickett,17,"1996,08,18",Forward,190500,178,77
Jarrod Witts,Jarrod,Witts,80,"1992,09,13",Ruck,480900,209,111
Jarryd Lyons,Jarryd,Lyons,92,"1992,07,22",Midfield,502000,184,84
Jarryd Roughead,Jarryd,Roughead,275,"1987,01,23",Forward,454100,193,98
Jarryn Geary,Jarryn,Geary,183,"1988,06,23",Defender,430800,182,82
Jason Carter,Jason,Carter,0,"2000,01,11","Defender,Midfield",102400,182,75
Jason Castagna,Jason,Castagna,52,"1996,07,12",Forward,317000,181,80
Jason Johannisen,Jason,Johannisen,106,"1992,11,08",Defender,465600,180,82
Jasper Pittard,Jasper,Pittard,126,"1991,04,01",Defender,365700,186,84
Jay Kennedy-Harris,Jay,Kennedy-Harris,34,"1995,03,21",Midfield,301300,173,75
Jayden Hunt,Jayden,Hunt,47,"1995,04,03",Defender,242700,187,83
Jayden Laverde,Jayden,Laverde,30,"1996,04,12",Forward,302200,191,90
Jayden Short,Jayden,Short,56,"1996,01,24",Defender,465600,178,75
Jed Anderson,Jed,Anderson,46,"1994,02,02",Midfield,431400,179,81
Jed Bews,Jed,Bews,71,"1993,12,14",Defender,230700,186,88
Jeff Garlett,Jeff,Garlett,178,"1989,08,03",Forward,375100,180,72
Jeremy Cameron,Jeremy,Cameron,130,"1993,04,01",Forward,441100,196,96
Jeremy Finlayson,Jeremy,Finlayson,15,"1996,02,09",Defender,380400,196,92
Jeremy Howe,Jeremy,Howe,162,"1990,06,29",Defender,497200,190,88
Jeremy McGovern,Jeremy,McGovern,103,"1992,04,15",Defender,483100,196,99
Jesse Hogan,Jesse,Hogan,71,"1995,02,12",Forward,498300,195,100
Jesse Joyce,Jesse,Joyce,47,"1997,08,17",Defender,324900,191,85
Jez McLennan,Jez,McLennan,0,"2000,09,07",Defender,117300,184,82
Jimmy Webster,Jimmy,Webster,85,"1993,06,28",Defender,472300,188,79
Joe Atley,Joe,Atley,3,"1998,08,04",Midfield,123900,188,88
Joe Daniher,Joe,Daniher,100,"1994,03,04",Forward,277800,200,95
Joel Amartey,Joel,Amartey,0,"1999,09,02",Forward,123900,196,88
Joel Crocker,Joel,Crocker,0,"2000,04,14","Defender,Forward",117300,191,78
Joel Garner,Joel,Garner,0,"1999,05,21",Defender,123900,184,80
Joel Hamling,Joel,Hamling,63,"1993,04,09",Defender,388100,194,90
Joel Selwood,Joel,Selwood,272,"1988,05,26",Midfield,570500,183,84
Joel Smith,Joel,Smith,11,"1996,02,25",Defender,266600,191,88
Jonathon Ceglar,Jonathon,Ceglar,61,"1991,02,14","Forward,Ruck",396800,204,102
Jonathon Patton,Jonathon,Patton,89,"1993,05,20","Forward,Ruck",421200,198,101
Jordan Clark,Jordan,Clark,0,"2000,10,16",Defender,144300,184,78
Jordan Cunico,Jordan,Cunico,15,"1996,05,07",Midfield,381500,185,80
Jordan Dawson,Jordan,Dawson,5,"1997,04,09",Midfield,260600,190,88
Jordan De Goey,Jordan,De Goey,71,"1996,03,15",Forward,476400,191,91
Jordan Gallucci,Jordan,Gallucci,17,"1998,05,04",Forward,297200,182,76
Jordan Houlahan,Jordan,Houlahan,0,"1999,02,19",Forward,123900,185,76
Jordan Lewis,Jordan,Lewis,307,"1986,04,24",Defender,454200,186,86
Jordan Murdoch,Jordan,Murdoch,108,"1992,03,23",Midfield,399200,190,87
Jordan Ridley,Jordan,Ridley,3,"1998,10,20",Defender,233100,192,84
Jordan Roughead,Jordan,Roughead,138,"1990,11,03","Forward,Ruck",379100,200,100
Jordon Butts,Jordon,Butts,0,"1999,12,31","Defender,Forward",102400,198,86
Jordon Sweet,Jordon,Sweet,0,"1998,02,02",Ruck,102400,203,106
Josh Battle,Josh,Battle,7,"1998,09,01",Forward,232100,193,88
Josh Bruce,Josh,Bruce,91,"1992,06,08",Forward,268500,197,102
Josh Caddy,Josh,Caddy,139,"1992,09,28",Forward,458400,186,88
Josh Corbett,Josh,Corbett,0,"1996,04,23",Forward,123900,190,90
Josh Daicos,Josh,Daicos,12,"1998,11,26",Forward,320800,178,77
Josh Dunkley,Josh,Dunkley,43,"1997,01,09","Midfield,Forward",516300,190,88
Josh Jenkins,Josh,Jenkins,136,"1989,02,08",Forward,438500,200,108
Josh P. Kennedy,Josh,P. Kennedy,227,"1988,06,20",Midfield,525600,190,95
Josh Rotham,Josh,Rotham,0,"1998,02,25",Defender,123900,193,85
Josh Schache,Josh,Schache,40,"1997,08,21",Forward,284800,199,94
Josh Smith,Josh,Smith,32,"1994,01,02",Forward,244300,180,80
Josh Thomas,Josh,Thomas,67,"1991,10,01",Forward,413800,178,79
Joshua Begley,Joshua,Begley,8,"1998,07,03",Forward,167600,188,89
Joshua Kelly,Joshua,Kelly,100,"1995,02,12",Midfield,617800,184,82
Joshua Kennedy,Joshua,Kennedy,221,"1987,08,25",Forward,397800,196,102
Joshua Schoenfeld,Joshua,Schoenfeld,14,"1997,07,03",Midfield,258100,186,84
Joshua Wagner,Joshua,Wagner,28,"1994,06,24",Defender,282300,189,84
Joshua Walker,Joshua,Walker,74,"1992,11,12",Defender,389700,197,100
Justin Mcinerney,Justin,Mcinerney,0,"2000,08,18",Defender,117300,187,75
Justin Westhoff,Justin,Westhoff,248,"1986,10,01","Forward,Ruck",549500,200,93
Jy Simpkin,Jy,Simpkin,35,"1998,03,05",Forward,358300,182,75
Jye Caldwell,Jye,Caldwell,0,"2000,09,28",Midfield,162300,184,80
Kade Chandler,Kade,Chandler,0,"2000,01,13",Midfield,108400,173,75
Kade Kolodjashnij,Kade,Kolodjashnij,78,"1995,08,09",Defender,363700,190,85
Kade Simpson,Kade,Simpson,307,"1984,05,05",Defender,570300,181,76
Kai Pudney,Kai,Pudney,0,"2000,01,09",Midfield,102400,186,78
Kaiden Brand,Kaiden,Brand,38,"1994,04,08",Defender,295900,198,98
Kamdyn Mcintosh,Kamdyn,Mcintosh,74,"1994,04,03",Midfield,316000,191,91
Kane Farrell,Kane,Farrell,5,"1999,03,17",Forward,216900,183,75
Kane Lambert,Kane,Lambert,74,"1991,11,26",Forward,481800,178,77
Karl Amon,Karl,Amon,42,"1995,08,19",Midfield,270300,181,79
Kayne Turner,Kayne,Turner,58,"1995,12,31",Forward,274100,180,75
Keegan Brooksby,Keegan,Brooksby,14,"1990,04,27",Ruck,202700,197,99
Kieran Strachan,Kieran,Strachan,0,"1995,10,05","Forward,Ruck",118900,204,95
Kieren Briggs,Kieren,Briggs,0,"1999,10,06",Ruck,117300,199,101
Kieren Jack,Kieren,Jack,248,"1987,06,28","Midfield,Forward",310600,178,81
Kobe Mutch,Kobe,Mutch,3,"1998,03,18",Midfield,237400,187,83
Kurt Mutimer,Kurt,Mutimer,4,"1997,03,11",Defender,137600,185,84
Kurt Tippett,Kurt,Tippett,178,"1987,05,08","Forward,Ruck",385100,202,106
Kyle Hartigan,Kyle,Hartigan,82,"1991,11,07",Defender,260600,194,98
Kyle Langford,Kyle,Langford,47,"1996,12,01","Midfield,Forward",436700,191,90
Kym LeBois,Kym,LeBois,0,"1998,05,22",Forward,123900,175,70
Kyron Hayden,Kyron,Hayden,0,"1999,06,07","Midfield,Forward",102400,186,88
Lachie Neale,Lachie,Neale,135,"1993,05,24",Midfield,607300,177,82
Lachie Whitfield,Lachie,Whitfield,114,"1994,07,18",Defender,542100,187,81
Lachie Young,Lachie,Young,0,"1999,04,06",Defender,120400,189,81
Lachlan Fogarty,Lachlan,Fogarty,15,"1999,04,01",Forward,324300,180,76
Lachlan Henderson,Lachlan,Henderson,165,"1989,12,14",Defender,386000,196,98
Lachlan Hunter,Lachlan,Hunter,105,"1994,12,13",Midfield,555500,183,82
Lachlan Keeffe,Lachlan,Keeffe,48,"1990,04,14",Defender,190500,204,102
Lachlan Murphy,Lachlan,Murphy,11,"1998,12,04",Forward,267500,176,76
Lachlan Plowman,Lachlan,Plowman,73,"1994,09,11",Defender,345800,191,90
Lachlan Schultz,Lachlan,Schultz,0,"1997,11,30",Forward,117300,178,79
Lachlan Sholl,Lachlan,Sholl,0,"2000,03,07",Defender,117300,185,77
Lachlan Weller,Lachlan,Weller,69,"1996,02,23","Defender,Midfield",403900,181,82
Laitham Vandermeer,Laitham,Vandermeer,0,"1999,02,03","Defender,Midfield",117300,180,77
Lance Franklin,Lance,Franklin,290,"1987,01,30",Forward,543500,199,107
Levi Casboult,Levi,Casboult,104,"1990,03,15",Forward,312700,201,103
Levi Greenwood,Levi,Greenwood,135,"1989,02,19",Defender,300800,181,87
Lewis Jetta,Lewis,Jetta,174,"1989,05,04",Defender,335600,182,80
Lewis Melican,Lewis,Melican,20,"1996,11,04",Defender,279400,195,100
Lewis Pierce,Lewis,Pierce,4,"1994,11,16",Ruck,235600,203,104
Lewis Taylor,Lewis,Taylor,107,"1995,02,17",Forward,390400,175,79
Lewis Young,Lewis,Young,9,"1998,12,20",Defender,248900,197,96
Liam Baker,Liam,Baker,3,"1998,01,27",Forward,162100,173,69
Liam Duggan,Liam,Duggan,70,"1996,12,11",Defender,375100,184,83
Liam Jones,Liam,Jones,112,"1991,02,24",Defender,382600,198,98
Liam Picken,Liam,Picken,198,"1986,08,01",Forward,285500,184,81
Liam Ryan,Liam,Ryan,13,"1996,10,02",Forward,336600,179,72
Liam Shiels,Liam,Shiels,186,"1991,04,29",Midfield,498600,183,84
Liam Stocker,Liam,Stocker,0,"2000,01,23",Midfield,126300,184,84
Lin Jong,Lin,Jong,61,"1993,06,04","Midfield,Forward",325700,188,87
Lincoln McCarthy,Lincoln,McCarthy,29,"1993,10,22",Forward,247500,178,82
Lloyd Meek,Lloyd,Meek,0,"1998,04,22",Ruck,123900,203,105
Lochie O'Brien,Lochie,O'Brien,18,"1999,09,18",Midfield,256900,184,78
Logan Austin,Logan,Austin,20,"1995,07,08",Defender,412500,196,92
Lukas Webb,Lukas,Webb,24,"1996,03,04",Forward,249200,187,84
Luke Breust,Luke,Breust,185,"1990,11,11",Forward,516400,184,84
Luke Brown,Luke,Brown,135,"1992,09,22",Defender,387300,181,81
Luke Dahlhaus,Luke,Dahlhaus,154,"1992,08,21","Midfield,Forward",418300,179,77
Luke Davies-Uniacke,Luke,Davies-Uniacke,7,"1999,06,08",Midfield,197500,188,85
Luke Dunstan,Luke,Dunstan,85,"1995,01,29",Midfield,437000,184,85
Luke English,Luke,English,0,"2000,08,20",Midfield,117300,181,79
Luke Foley,Luke,Foley,0,"1999,10,08",Midfield,117300,188,74
Luke Hodge,Luke,Hodge,324,"1984,06,15",Defender,451400,185,90
Luke Lavender,Luke,Lavender,0,"1996,07,08",Forward,123900,200,92
Luke McDonald,Luke,McDonald,96,"1995,02,09",Defender,362200,189,89
Luke Parker,Luke,Parker,173,"1992,10,25",Midfield,561700,183,88
Luke Ryan,Luke,Ryan,31,"1996,02,06",Defender,489900,186,88
Luke Shuey,Luke,Shuey,177,"1990,06,02",Midfield,492700,183,90
Luke Valente,Luke,Valente,0,"2000,05,08",Midfield,117300,186,82
Lynden Dunn,Lynden,Dunn,196,"1987,05,14",Defender,328800,192,102
Mabior Chol,Mabior,Chol,1,"1997,01,29",Forward,102400,199,93
Majak Daw,Majak,Daw,50,"1991,03,11",Defender,424300,195,97
Marc Murphy,Marc,Murphy,249,"1987,07,19",Midfield,501500,180,80
Marc Pittonet,Marc,Pittonet,5,"1996,06,03",Ruck,234500,202,105
Marcus Adams,Marcus,Adams,27,"1993,06,30",Defender,339600,192,98
Marcus Bontempelli,Marcus,Bontempelli,104,"1995,11,24",Midfield,564600,193,93
Mark Baguley,Mark,Baguley,124,"1987,05,21",Forward,328200,178,81
Mark Blicavs,Mark,Blicavs,133,"1991,03,28",Defender,405200,198,100
Mark Hutchings,Mark,Hutchings,95,"1991,05,25",Midfield,360500,182,83
Mark Keane,Mark,Keane,0,"2000,03,17","Defender,Forward",102400,,
Mark O'Connor,Mark,O'Connor,7,"1997,01,17",Defender,246500,191,87
Marley Williams,Marley,Williams,103,"1993,07,22",Defender,340500,181,83
Martin Frederick,Martin,Frederick,0,"2000,05,17","Defender,Midfield",102400,178,74
Martin Gleeson,Martin,Gleeson,69,"1994,08,25",Defender,264400,191,86
Marty Hore,Marty,Hore,0,"1996,03,05",Defender,117300,189,84
Mason Cox,Mason,Cox,44,"1991,03,14",Forward,334900,211,108
Mason Redman,Mason,Redman,5,"1997,08,26",Defender,309700,187,87
Mason Wood,Mason,Wood,39,"1993,09,13",Forward,363300,192,87
Mathew Walker,Mathew,Walker,0,"2000,02,14","Midfield,Forward",117300,188,82
Matt Cottrell,Matt,Cottrell,,None,,102400,,
Matt Crouch,Matt,Crouch,90,"1995,04,21",Midfield,551300,182,80
Matt Eagles,Matt,Eagles,4,"1990,02,09",Defender,200300,200,99
Matt Guelfi,Matt,Guelfi,15,"1997,08,14",Midfield,333300,183,79
Matt Owies,Matt,Owies,0,"1997,03,19","Midfield,Forward",102400,183,82
Matthew Allen,Matthew,Allen,0,"1997,10,18","Midfield,Forward",123900,193,96
Matthew Broadbent,Matthew,Broadbent,161,"1990,08,01",Defender,261700,189,90
Matthew Buntine,Matthew,Buntine,50,"1993,10,19",Defender,252000,189,84
Matthew De Boer,Matthew,De Boer,168,"1990,03,10",Forward,448500,189,86
Matthew Dea,Matthew,Dea,70,"1991,10,13",Defender,333900,186,87
Matthew Flynn,Matthew,Flynn,0,"1997,09,13",Ruck,123900,200,102
Matthew Kennedy,Matthew,Kennedy,31,"1997,04,06",Midfield,350600,188,89
Matthew Kreuzer,Matthew,Kreuzer,173,"1989,05,13",Ruck,432900,200,101
Matthew Ling,Matthew,Ling,0,"1999,04,21","Midfield,Forward",123900,183,76
Matthew Lobbe,Matthew,Lobbe,98,"1989,02,12",Ruck,362400,200,96
Matthew Parker,Matthew,Parker,0,"1996,01,25",Forward,117300,190,76
Matthew Scharenberg,Matthew,Scharenberg,31,"1995,09,18",Defender,437200,191,90
Matthew Suckling,Matthew,Suckling,152,"1988,07,25",Defender,497000,187,85
Matthew Taberner,Matthew,Taberner,62,"1993,06,17",Forward,354100,199,97
Maverick Weller,Maverick,Weller,121,"1992,02,13",Forward,334500,182,85
Max Gawn,Max,Gawn,99,"1991,12,30",Ruck,692100,208,109
Max King,Max,King,0,"2000,07,07",Forward,193800,203,90
Max Lynch,Max,Lynch,0,"1998,09,12",Ruck,123900,200,97
Michael Gibbons,Michael,Gibbons,,None,,102400,,
Michael Hartley,Michael,Hartley,41,"1993,06,07",Defender,280100,198,104
Michael Hibberd,Michael,Hibberd,123,"1990,01,03",Defender,398700,186,93
Michael Hurley,Michael,Hurley,160,"1990,06,01",Defender,491800,193,92
Michael Rischitelli,Michael,Rischitelli,236,"1986,01,08",Defender,259800,185,84
Michael Walters,Michael,Walters,129,"1991,01,07","Midfield,Forward",476800,177,75
Mitch McGovern,Mitch,McGovern,48,"1994,10,11",Forward,368200,190,89
Mitch Robinson,Mitch,Robinson,168,"1989,06,07","Midfield,Forward",496600,184,90
Mitchell Brown,Mitchell,Brown,54,"1990,08,28",Forward,407100,196,95
Mitchell Crowden,Mitchell,Crowden,9,"1999,04,28",Forward,234000,174,84
Mitchell Duncan,Mitchell,Duncan,180,"1991,06,10",Midfield,576500,188,88
Mitchell Hannan,Mitchell,Hannan,35,"1994,03,09",Forward,325700,189,87
Mitchell Hinge,Mitchell,Hinge,0,"1998,06,26",Defender,123900,189,85
Mitchell Lewis,Mitchell,Lewis,2,"1998,10,14",Forward,149000,198,92
Mitchell Wallis,Mitchell,Wallis,123,"1992,10,24","Midfield,Forward",498800,186,85
Myles Poholke,Myles,Poholke,9,"1998,07,10",Forward,234600,186,86
Nakia Cockatoo,Nakia,Cockatoo,34,"1996,10,23",Forward,190500,186,90
Nathan Broad,Nathan,Broad,30,"1993,04,15",Defender,290800,192,89
Nathan Brown,Nathan,Brown,167,"1988,12,17",Defender,227600,196,99
Nathan Fyfe,Nathan,Fyfe,153,"1991,09,18",Midfield,618100,190,92
Nathan Hrovat,Nathan,Hrovat,64,"1994,06,07",Forward,266400,175,78
Nathan Jones,Nathan,Jones,264,"1988,01,20",Midfield,459200,180,87
Nathan Kreuger,Nathan,Kreuger,0,"1999,06,25",Forward,123900,196,86
Nathan Murphy,Nathan,Murphy,2,"1999,12,15",Defender,167200,190,79
Nathan Vardy,Nathan,Vardy,57,"1991,06,25","Forward,Ruck",306400,200,100
Nathan Wilson,Nathan,Wilson,98,"1993,01,07",Defender,435300,185,82
Ned McHenry,Ned,McHenry,0,"2000,07,13","Midfield,Forward",139800,179,70
Neville Jetta,Neville,Jetta,141,"1990,02,12",Defender,320000,180,82
Nic Newman,Nic,Newman,31,"1993,01,15",Defender,394100,186,84
Nicholas Coffield,Nicholas,Coffield,10,"1999,10,23",Defender,286100,191,82
Nicholas Holman,Nicholas,Holman,31,"1995,05,29",Forward,364700,189,88
Nicholas Naitanui,Nicholas,Naitanui,161,"1990,05,04",Ruck,524400,201,110
Nicholas Robertson,Nicholas,Robertson,68,"1995,06,03",Defender,347400,191,98
Nicholas Shipley,Nicholas,Shipley,2,"1999,06,25",Midfield,130300,188,95
Nick Blakey,Nick,Blakey,0,"2000,02,27",Forward,166800,196,82
Nick Haynes,Nick,Haynes,105,"1992,05,18",Defender,408100,193,89
Nick Hind,Nick,Hind,0,"1994,08,19",Midfield,117300,180,72
Nick Larkey,Nick,Larkey,2,"1998,06,06",Forward,123900,198,93
Nick Smith,Nick,Smith,211,"1988,06,12",Defender,338200,183,83
Nick Vlastuin,Nick,Vlastuin,117,"1994,04,19",Defender,442900,187,87
Noah Answerth,Noah,Answerth,0,"1999,08,06","Defender,Midfield",117300,184,82
Noah Balta,Noah,Balta,0,"1999,10,23",Forward,123900,194,94
Noah Gown,Noah,Gown,0,"2000,02,01",Forward,117300,194,92
Oleg Markov,Oleg,Markov,15,"1996,05,08",Defender,158000,188,80
Oliver Florent,Oliver,Florent,32,"1998,07,22",Midfield,359300,183,80
Oliver Hanrahan,Oliver,Hanrahan,0,"1998,08,27",Forward,123900,181,75
Oliver Wines,Oliver,Wines,129,"1994,10,07",Midfield,528300,190,99
Orazio Fantasia,Orazio,Fantasia,60,"1995,09,14",Forward,452200,177,79
Oscar Allen,Oscar,Allen,2,"1999,03,19",Defender,236700,191,83
Oscar Brownless,Oscar,Brownless,0,"2000,02,16",Midfield,117300,187,77
Oscar Clavarino,Oscar,Clavarino,0,"1999,05,22",Defender,123900,195,86
Oscar McDonald,Oscar,McDonald,62,"1996,03,18",Defender,296100,196,100
Oscar McInerney,Oscar,McInerney,16,"1994,07,10",Forward,317600,204,107
Oskar Baker,Oskar,Baker,0,"1998,05,25",Midfield,123900,184,79
Paddy Dow,Paddy,Dow,20,"1999,10,16","Midfield,Forward",323500,184,80
Pat Kerr,Pat,Kerr,4,"1998,07,31",Forward,230800,197,97
Patrick Ambrose,Patrick,Ambrose,67,"1991,09,01",Defender,258900,193,95
Patrick Bines,Patrick,Bines,0,"1999,02,05","Forward,Ruck",102400,198,98
Patrick Cripps,Patrick,Cripps,81,"1995,03,18",Midfield,648200,195,93
Patrick Dangerfield,Patrick,Dangerfield,224,"1990,04,05","Midfield,Forward",660500,189,92
Patrick Lipinski,Patrick,Lipinski,18,"1998,07,17","Midfield,Forward",322200,187,84
Patrick McCartin,Patrick,McCartin,35,"1996,04,19",Forward,262200,194,100
Patrick Naish,Patrick,Naish,0,"1999,01,15",Defender,123900,182,71
Patrick Ryder,Patrick,Ryder,226,"1988,03,14",Ruck,490300,197,96
Patrick Wilson,Patrick,Wilson,1,"1994,12,11",Midfield,147700,188,89
Paul Ahern,Paul,Ahern,11,"1996,08,01",Midfield,375100,183,85
Paul Hunter,Paul,Hunter,0,"1993,02,09",Ruck,102400,200,104
Paul Puopolo,Paul,Puopolo,168,"1987,12,02",Forward,359500,173,78
Paul Seedsman,Paul,Seedsman,88,"1992,01,22",Midfield,440000,189,87
Pearce Hanley,Pearce,Hanley,145,"1988,11,15",Defender,296400,185,85
Peter Ladhams,Peter,Ladhams,0,"1998,01,14",Ruck,123900,203,94
Peter Wright,Peter,Wright,49,"1996,09,08",Forward,306400,203,102
Phil Davis,Phil,Davis,143,"1990,08,30",Defender,422600,197,96
Quinton Narkle,Quinton,Narkle,6,"1997,12,03",Forward,241000,181,80
Red Og Murphy,Red,Og Murphy,0,"2000,10,11",Midfield,102400,185,80
Reece Conca,Reece,Conca,104,"1992,08,12",Midfield,392900,181,83
Reilly O'Brien,Reilly,O'Brien,2,"1995,08,20",Ruck,136800,202,101
Rhylee West,Rhylee,West,0,"2000,07,12",Midfield,117300,181,82
Rhys Mathieson,Rhys,Mathieson,37,"1997,01,10","Midfield,Forward",365000,188,88
Rhys Stanley,Rhys,Stanley,115,"1990,12,01",Ruck,483500,200,102
Richard Douglas,Richard,Douglas,237,"1987,02,06","Midfield,Forward",399500,181,79
Ricky Henderson,Ricky,Henderson,130,"1988,09,11",Midfield,444900,188,91
Riley Bonner,Riley,Bonner,23,"1997,03,07",Defender,346000,191,82
Riley Collier-Dawkins,Riley,Collier-Dawkins,0,"2000,02,03",Midfield,121800,193,88
Riley Grundy,Riley,Grundy,0,"2000,07,28",Defender,117300,195,83
Riley Knight,Riley,Knight,39,"1995,03,27","Midfield,Forward",348800,181,80
Roarke Smith,Roarke,Smith,12,"1996,09,11",Defender,247000,181,81
Robbie Fox,Robbie,Fox,13,"1993,04,16","Defender,Forward",283400,185,85
Robbie Gray,Robbie,Gray,199,"1988,03,30","Midfield,Forward",525500,183,84
Robbie Tarrant,Robbie,Tarrant,126,"1989,04,25",Defender,403000,196,97
Robert Young,Robert,Young,0,"1995,03,02",Forward,117300,179,73
Rory Atkins,Rory,Atkins,77,"1994,07,12",Midfield,415800,186,85
Rory Laird,Rory,Laird,121,"1993,12,29",Defender,587600,177,81
Rory Lobb,Rory,Lobb,74,"1993,02,09","Forward,Ruck",411600,207,106
Rory Sloane,Rory,Sloane,177,"1990,03,17",Midfield,524300,182,83
Rory Thompson,Rory,Thompson,103,"1991,03,12",Defender,265400,200,100
Rowan Marshall,Rowan,Marshall,13,"1995,11,24",Forward,341100,201,101
Rupert Wills,Rupert,Wills,6,"1993,05,20",Midfield,166100,192,89
Ryan Abbott,Ryan,Abbott,4,"1991,06,25",Ruck,340700,200,100
Ryan Bastinac,Ryan,Bastinac,161,"1991,06,22",Midfield,245400,184,76
Ryan Burton,Ryan,Burton,47,"1997,01,31",Defender,356700,191,91
Ryan Clarke,Ryan,Clarke,40,"1997,06,17",Defender,355400,184,87
Ryan Garthwaite,Ryan,Garthwaite,2,"1998,06,30",Defender,231800,192,91
Ryan Lester,Ryan,Lester,117,"1992,08,26",Defender,371300,192,87
Ryan Nyhuis,Ryan,Nyhuis,12,"1996,09,06",Defender,284300,190,89
Ryan Schoenmakers,Ryan,Schoenmakers,121,"1990,11,08",Forward,261200,195,94
Ryley Stoddart,Ryley,Stoddart,2,"1999,10,15",Forward,136800,184,73
Sam Alabakis,Sam,Alabakis,0,"1997,05,02",Ruck,102400,211,111
Sam Day,Sam,Day,110,"1992,09,06",Forward,301700,197,102
Sam Docherty,Sam,Docherty,92,"1993,10,17",Defender,511300,187,87
Sam Draper,Sam,Draper,0,"1998,09,28",Ruck,123900,203,105
Sam Durdin,Sam,Durdin,9,"1996,06,06",Defender,202300,198,97
Sam Frost,Sam,Frost,69,"1993,08,28",Defender,331700,194,95
Sam Gray,Sam,Gray,76,"1992,02,01",Forward,380600,176,78
Sam Hayes,Sam,Hayes,0,"1999,06,09",Ruck,123900,203,96
Sam Jacobs,Sam,Jacobs,196,"1988,04,10",Ruck,455700,200,102
Sam Lloyd,Sam,Lloyd,57,"1990,03,03",Midfield,386000,180,81
Sam Mayes,Sam,Mayes,101,"1994,05,20",Defender,274400,189,88
Sam Menegola,Sam,Menegola,53,"1992,03,07","Midfield,Forward",543100,189,89
Sam Naismith,Sam,Naismith,28,"1992,07,16",Ruck,251400,205,109
Sam Petrevski-Seton,Sam,Petrevski-Seton,42,"1998,02,19",Forward,364900,180,74
Sam Powell-Pepper,Sam,Powell-Pepper,38,"1998,01,08",Midfield,425800,188,96
Sam Reid,Sam,Reid,121,"1991,12,27",Forward,395200,196,99
Sam Simpson,Sam,Simpson,6,"1998,06,14",Midfield,152000,180,74
Sam Skinner,Sam,Skinner,1,"1997,06,29",Defender,168300,198,96
Sam Sturt,Sam,Sturt,0,"2000,05,12",Forward,135300,189,75
Sam Switkowski,Sam,Switkowski,2,"1996,11,20",Forward,283100,178,70
Sam Taylor,Sam,Taylor,8,"1999,05,05",Defender,268000,196,87
Sam Walsh,Sam,Walsh,0,"2000,07,02",Midfield,207300,184,77
Sam Weideman,Sam,Weideman,20,"1997,06,26",Forward,242900,195,97
Sam Wicks,Sam,Wicks,0,"1999,09,14","Midfield,Forward",102400,180,74
Samuel Collins,Samuel,Collins,14,"1994,06,15",Defender,188900,194,98
Samuel Murray,Samuel,Murray,13,"1997,09,02",Defender,385000,189,88
Samuel Reid,Samuel,Reid,64,"1989,11,07","Defender,Forward",271700,188,85
Samuel Wright,Samuel,Wright,132,"1990,07,15",Defender,356200,188,86
Scott Jones,Scott,Jones,5,"1995,05,20","Forward,Ruck",279500,203,115
Scott Lycett,Scott,Lycett,75,"1992,09,26","Forward,Ruck",441200,203,101
Scott Pendlebury,Scott,Pendlebury,277,"1988,01,07",Midfield,562000,191,91
Scott Selwood,Scott,Selwood,167,"1990,03,27",Midfield,382700,186,88
Scott Thompson,Scott,Thompson,222,"1986,05,09",Defender,419000,193,96
Sean Darcy,Sean,Darcy,15,"1998,06,12",Ruck,361500,201,111
Sean Lemmens,Sean,Lemmens,79,"1994,11,02",Forward,221500,184,83
Sebastian Ross,Sebastian,Ross,102,"1993,05,07",Midfield,558400,187,88
Shai Bolton,Shai,Bolton,9,"1998,12,08",Forward,146600,175,76
Shane Edwards,Shane,Edwards,231,"1988,10,25","Midfield,Forward",470600,182,81
Shane Kersten,Shane,Kersten,66,"1993,03,15",Defender,331100,191,90
Shane McAdam,Shane,McAdam,0,"1995,05,28",Forward,123900,181,78
Shane Mumford,Shane,Mumford,172,"1986,07,05",Ruck,320200,197,105
Shane Savage,Shane,Savage,141,"1991,01,05",Defender,481300,186,84
